등록번호,상호,소재지,대표자,사무소전화번호,상태,데이터기준일자
11710-2015-00145,예성공인중개사사무소,"서울특별시 송파구 충민로 5 115호 (문정동, 송파한화오벨리스크)",정영순,02-445-3838,영업중,2024-08-12
11710-2015-00147,믿음공인중개사사무소,서울특별시 송파구 오금로53길 54 1층 (거여동),임지민,02-431-4884,영업중,2024-08-12
11710-2015-00148,테라유림부동산공인중개사사무소,"서울특별시 송파구 송파대로 201 A동 A-131호(문정동, 송파테라타워2)",박재순,02-417-1179,영업중,2024-08-12
11710-2015-00153,학사공인중개사사무소,서울특별시 송파구 성내천로 46 1층 (오금동),김점준,02-400-3030,영업중,2024-08-12
11710-2015-00156,동명공인중개사사무소,서울특별시 송파구 백제고분로28길 6 1층 (삼전동),김영래,02-2202-9960,영업중,2024-08-12
11710-2015-00165,롯데공인중개사사무소,"서울특별시 송파구 올림픽로35길 124 에이상가2동 1층107호 (신천동, 장미아파트)",조영호,02-421-1100,영업중,2024-08-12
11710-2015-00168,열매공인중개사사무소,서울특별시 송파구 백제고분로31길 38 1층 (삼전동),김성호,02-421-2489,영업중,2024-08-12
11710-2015-00178,리시온부동산중개법인,"서울특별시 송파구 오금로 87 418호 (방이동, 잠실리시온)",고성은,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2015-00180,로얄공인중개사사무소,"서울특별시 송파구 마천로 180 , 601호 (오금동, 성우리빙타워)",윤예원,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2015-00181,씨티공인중개사사무소,"서울특별시 송파구 올림픽로 435 상가A동 108호 (신천동, 파크리오)",강병선,02-422-3345,영업중,2024-08-12
11710-2015-00183,월드공인중개사사무소,"서울특별시 송파구 석촌호수로 61 상가동 129호 (잠실동, 트리지움)",조랑곤,02-412-3000,영업중,2024-08-12
11710-2015-00190,대운공인중개사사무소,"서울특별시 송파구 오금로19길 8 ,1층 (방이동)",김진표,02-6401-5551,영업중,2024-08-12
11710-2015-00203,탑공인중개사사무소,서울특별시 송파구 백제고분로45길 8 1층 (송파동),홍경화,02-422-0049,영업중,2024-08-12
11710-2015-00210,경남공인중개사사무소,"서울특별시 송파구 오금로35길 17 지하상가동 19-1호 (오금동, 현대아파트)",오환종,02-514-2738,영업중,2024-08-12
11710-2015-00211,삼성공인중개사사무소,"서울특별시 송파구 동남로18길 40 상가동 101호 (가락동, 프라자아파트)",김윤중,02-449-4200,영업중,2024-08-12
11710-2015-00213,OK공인중개사사무소,서울특별시 송파구 백제고분로33길 16 1층 (석촌동),김기형,02-2203-1777,영업중,2024-08-12
11710-2015-00222,신성공인중개사사무소,서울특별시 송파구 백제고분로 426 1층 (송파동),노건오,02-424-7400,영업중,2024-08-12
11710-2015-00232,송파공인중개사사무소,"서울특별시 송파구 오금로44길 47 102동 111호 (가락동, 동궁리치웰아파트)",박송규,02-449-4400,영업중,2024-08-12
11710-2015-00244,소망공인중개사사무소,"서울특별시 송파구 오금로32길 14 101동 103호 (송파동, 송파삼성래미안아파트)",전은경,02-2042-4242,영업중,2024-08-12
11710-2015-00247,호박공인중개사사무소,서울특별시 송파구 송파대로28길 12 101호 (가락동),이현,02-403-9779,영업중,2024-08-12
11710-2015-00249,아이파크골드공인중개사사무소,"서울특별시 송파구 강동대로 74 상가동 303호(풍납동, 잠실올림픽공원아이파크)",김순옥,02-471-7573,영업중,2024-08-12
11710-2015-00250,행운공인중개사사무소,서울특별시 송파구 오금로36길 10 1층 (가락동),김충실,02-430-3600,영업중,2024-08-12
11710-2015-00258,가인공인중개사사무소,서울특별시 송파구 백제고분로31길 25 1층 (삼전동),임숙영,02-412-0296,영업중,2024-08-12
11710-2015-00262,석촌공인중개사사무소,서울특별시 송파구 백제고분로39길 5 1층 (석촌동),서태범,02-416-1214,영업중,2024-08-12
11710-2015-00263,마에스트로부동산중개법인(주),"서울특별시 송파구 새말로 62 상가115호 (문정동, 송파푸르지오시티)",김성현,02-401-7672,영업중,2024-08-12
11710-2015-00266,제일부동산중개법인알앤유주식회사,"서울특별시 송파구 올림픽로35길 112 비상가2동 1층112-1호 (신천동, 장미아파트)",김은숙,02-422-9800,영업중,2024-08-12
11710-2015-00267,한마음공인중개사사무소,"서울특별시 송파구 올림픽로35길 112 비상가2동 1층103호 (신천동, 장미아파트)",한혜정,02-423-0700,영업중,2024-08-12
11710-2015-00272,민공인중개사사무소,"서울특별시 송파구 송파대로 111 , 하비오길동 중앙로 108동114호 (문정동,파크하비오)",김미자,02-430-6262,영업중,2024-08-12
11710-2015-00277,우리들공인중개사사무소,"서울특별시 송파구 법원로11길 25 A-116호(문정동,에이치비지니스파크)",조창근,02-401-0078,영업중,2024-08-12
11710-2015-00279,나라공인중개사사무소,서울특별시 송파구 가락로 268 1층 (방이동),석선여,02-422-8444,영업중,2024-08-12
11710-2015-00287,위너스공인중개사사무소,서울특별시 송파구 양재대로64길 27 1층 (가락동),김복기,02-430-1212,영업중,2024-08-12
11710-2015-00292,정무림공인중개사사무소,서울특별시 송파구 풍성로25길 36 1층 (풍납동),정무림,02-489-5555,영업중,2024-08-12
11710-2015-00297,골드공인중개사사무소,서울특별시 송파구 마천로51길 29 1층 (마천동),고갑식,02-409-3780,영업중,2024-08-12
11710-2015-00298,잠실천사공인중개사사무소,"서울특별시 송파구 올림픽로 203 129호 (잠실동, 중앙상가)",이천형,02-416-1010,영업중,2024-08-12
11710-2015-00300,아이파크공인중개사사무소,"서울특별시 송파구 올림픽로8길 20 A111호 (잠실동, 잠실아이파크)",김예원,02-417-7788,영업중,2024-08-12
11710-2015-00303,위례아이파크공인중개사사무소,"서울특별시 송파구 위례광장로 136 상가-1동 A-101호 (장지동, 위례아이파크)",안희숙,02-402-4600,영업중,2024-08-12
11710-2015-00310,롯데공인중개사사무소,"서울특별시 송파구 올림픽로 203 103호 (잠실동, 중앙상가)",길문섭,02-416-5100,영업중,2024-08-12
11710-2015-00321,배려공인중개사사무소,서울특별시 송파구 문정로1길 30 1층(문정동),왕용환,02-443-7001,영업중,2024-08-12
11710-2015-00322,남일공인중개사사무소,서울특별시 송파구 가락로 66 1층 (석촌동),김익실,02-413-6500,영업중,2024-08-12
11710-2016-00003,장수공인중개사사무소,서울특별시 송파구 백제고분로17길 12 1층 (잠실동),김영희,02-420-7780,영업중,2024-08-12
11710-2016-00008,올선단지내삼성공인중개사사무소,"서울특별시 송파구 양재대로 1222 중심상가동 1층81호(방이동,올림픽선수기자촌아파트)",김순란,02-407-8000,영업중,2024-08-12
11710-2016-00011,주식회사부동산중개법인파트너스,"서울특별시 송파구 법원로 90 , 108호 (문정동, 파트너스2)",양지연,02-400-1011,영업중,2024-08-12
11710-2016-00019,호돌이공인중개사사무소,"서울특별시 송파구 중대로 24 상가(3)동 107호 (문정동, 올림픽훼밀리타운아파트)",장갑수,02-404-1807,영업중,2024-08-12
11710-2016-00022,잠실월드공인중개사사무소,"서울특별시 송파구 올림픽로 203 1층 135호,136호(잠실동, 중앙상가)",이지연,02-2043-8000,영업중,2024-08-12
11710-2016-00023,굿모닝공인중개사사무소,서울특별시 송파구 동남로9길 33 1층(가락동),황혜경,02-409-7100,영업중,2024-08-12
11710-2016-00031,현대공인중개사사무소,서울특별시 송파구 백제고분로18길 18 1층(잠실동),문성길,02-423-4878,영업중,2024-08-12
11710-2016-00037,유일공인중개사사무소,"서울특별시 송파구 올림픽로 203 121호(잠실동, 중앙상가)",사연경,02-424-4848,영업중,2024-08-12
11710-2016-00039,금탑공인중개사사무소,"서울특별시 송파구 올림픽로 435 상가A동 103호(신천동, 파크리오)",김성훈,070-7208-0035,영업중,2024-08-12
11710-2016-00041,SK공인중개사사무소,서울특별시 송파구 거마로3길 14 (거여동),이영미,02-431-4949,영업중,2024-08-12
11710-2016-00043,차칸공인중개사사무소,서울특별시 송파구 위례성대로20길 10 1층(오금동),유효열,02-409-1010,영업중,2024-08-12
11710-2016-00044,하늘공인중개사사무소,"서울특별시 송파구 동남로18길 40 상가동 102호(가락동, 프라자아파트)",손영태,02-404-4985,영업중,2024-08-12
11710-2016-00047,동원공인중개사사무소,서울특별시 송파구 거마로7길 7 1층(거여동),함정호,02-6494-0016,영업중,2024-08-12
11710-2016-00048,삼미공인중개사사무소,서울특별시 송파구 동남로2길 7 1층(문정동),조성동,02-409-8944,영업중,2024-08-12
11710-2016-00049,홍익공인중개사사무소,서울특별시 송파구 송파대로36길 32 1층(송파동),박태근,02-422-4959,영업중,2024-08-12
11710-2016-00064,신라공인중개사사무소,서울특별시 송파구 가락로 176 103호(송파동),김영동,02-424-9700,영업중,2024-08-12
11710-2016-00067,이화공인중개사사무소,"서울특별시 송파구 양재대로 1218 B상가동 102호(방이동, 올림픽선수기자촌아파트)",양봉이,02-402-5533,영업중,2024-08-12
11710-2016-00071,스마트공인중개사사무소,서울특별시 송파구 백제고분로27길 16 1층(삼전동),김동규,02-417-0050,영업중,2024-08-12
11710-2016-00083,다올공인중개사사무소,서울특별시 송파구 백제고분로40길 19 102호(석촌동),최재우,02-420-4884,영업중,2024-08-12
11710-2016-00085,백억공인중개사사무소,서울특별시 송파구 석촌호수로12길 42 101호(잠실동),조정희,02-416-0089,영업중,2024-08-12
11710-2016-00103,알파고공인중개사사무소,"서울특별시 송파구 백제고분로7길 3-10 405호(잠실동, 렉스빌2차)",이동대,02-417-8878,영업중,2024-08-12
11710-2016-00110,서울공인중개사사무소,서울특별시 송파구 송이로23길 12 101호(가락동),김진욱,02-408-8949,영업중,2024-08-12
11710-2016-00111,마에스트로공인중개사사무소,"서울특별시 송파구 법원로11길 11 119호 (문정동, 문정현대지식산업센터1-1)",백광인,02-403-7672,영업중,2024-08-12
11710-2016-00123,88공인중개사사무소,"서울특별시 송파구 양재대로 1222 중심상가동 1층95호(방이동, 올림픽선수기자촌아파트)",조경숙,02-400-5050,영업중,2024-08-12
11710-2016-00125,반석공인중개사사무소,"서울특별시 송파구 충민로 66 , L-9057호 (문정동, 가든파이브라이프)",김인수,02-2057-6100,영업중,2024-08-12
11710-2016-00126,선경공인중개사사무소,서울특별시 송파구 동남로 217 (가락동),안만근,02-403-5858,영업중,2024-08-12
11710-2016-00131,유명월드공인중개사사무소,"서울특별시 송파구 올림픽로37길 130 상가A동 137호(신천동, 파크리오)",이미옥,02-418-0016,영업중,2024-08-12
11710-2016-00132,신한국부동산중개사무소,서울특별시 송파구 송이로20길 12-18 1층(가락동),박덕용,02-431-4430,영업중,2024-08-12
11710-2016-00145,로얄공인중개사사무소,"서울특별시 송파구 동남로 189 26동 1층120호(가락동, 가락쌍용아파트)",이영주,02-409-4989,영업중,2024-08-12
11710-2016-00150,하나공인중개사사무소,"서울특별시 송파구 송이로32길 37 201동 상가02호(문정동, 문정푸르지오아파트)",임각남,02-2043-2000,영업중,2024-08-12
11710-2016-00152,신한공인중개사사무소,서울특별시 송파구 마천로 333-1 1층(마천동),김성진,02-400-0708,영업중,2024-08-12
11710-2016-00153,한일공인중개사사무소,서울특별시 송파구 백제고분로40길 13 1층(석촌동),권현순,02-413-3949,영업중,2024-08-12
11710-2016-00164,태양공인중개사사무소,"서울특별시 송파구 새말로 62 상가143호 (문정동, 송파푸르지오시티)",강수정,02-400-2001,영업중,2024-08-12
11710-2016-00166,주식회사부동산중개법인베스트,"서울특별시 송파구 법원로 96 105호(문정동, 문정법조프라자)",김태연,02-431-1010,영업중,2024-08-12
11710-2016-00167,매일공인중개사사무소,서울특별시 송파구 백제고분로40길 26 1층(석촌동),류경숙,02-414-2377,영업중,2024-08-12
11710-2016-00168,위례신도시공인중개사사무소,"서울특별시 송파구 충민로 151 상가동 101호(장지동, 송파파인타운2단지)",박혜련,02-406-5777,영업중,2024-08-12
11710-2016-00178,잠실신동아공인중개사사무소,"서울특별시 송파구 석촌호수로 61 상가동 136호(잠실동, 트리지움)",곽숙자,02-417-7777,영업중,2024-08-12
11710-2016-00182,잠실청자공인중개사사무소,"서울특별시 송파구 올림픽로 145 상가동 1A69호 1A70호(잠실동, 리센츠)",김서희,070-7208-9782,영업중,2024-08-12
11710-2016-00185,대림공인중개사사무소,"서울특별시 송파구 송이로 88 상가동 1층4호(가락동, 가락대림아파트)",조창화,02-409-2300,영업중,2024-08-12
11710-2016-00188,포인트공인중개사사무소,"서울특별시 송파구 위례광장로 120 상가동 119호 (장지동, 위례중앙푸르지오1단지)",전희양,02-407-7704,영업중,2024-08-12
11710-2016-00212,한국공인중개사사무소,서울특별시 송파구 백제고분로19길 12 1층(잠실동),정희선,02-418-1212,영업중,2024-08-12
11710-2016-00213,대우공인중개사사무소,"서울특별시 송파구 중대로 24 상가(1)동 112호(문정동, 올림픽훼밀리타운아파트)",박권용,02-402-9292,영업중,2024-08-12
11710-2016-00214,하나부동산공인중개사사무소,"서울특별시 송파구 올림픽로37길 130 상가A동 101호(신천동,파크리오)",정동균,02-420-8080,영업중,2024-08-12
11710-2016-00218,뉴삼성공인중개사사무소,"서울특별시 송파구 석촌호수로 135 상가A동 132호(잠실동, 레이크팰리스)",박상조,02-419-3300,영업중,2024-08-12
11710-2016-00229,부동산캠프공인중개사사무소,서울특별시 송파구 오금로 202 4층(송파동),이봉기,02-423-8272,영업중,2024-08-12
11710-2016-00230,태연공인중개사사무소,서울특별시 송파구 송이로31길 4 1층 (문정동),이덕직,02-430-0010,영업중,2024-08-12
11710-2016-00233,로얄공인중개사사무소,"서울특별시 송파구 충민로 66 Y-9012호 (문정동, 가든파이브라이프)",홍성갑,02-2157-8458,영업중,2024-08-12
11710-2016-00236,엘스행복공인중개사사무소,"서울특별시 송파구 올림픽로 119 1B08호(잠실동, 잠실파인애플상가)",신정희,02-2203-8888,영업중,2024-08-12
11710-2016-00240,송파파인타운부동산중개,"서울특별시 송파구 충민로 152 상가동 106호(장지동, 송파파인타운3단지)",김덕임,02-443-6100,영업중,2024-08-12
11710-2016-00241,우리공인중개사사무소,"서울특별시 송파구 중대로 24 상가(2)동 1층119호(문정동, 올림픽훼밀리타운아파트)",고승길,02-401-7788,영업중,2024-08-12
11710-2016-00255,송파대장공인중개사사무소,서울특별시 송파구 백제고분로39길 24 1층 (석촌동),함준석,02-414-2288,영업중,2024-08-12
11710-2016-00263,세화공인중개사사무소,"서울특별시 송파구 양재대로 1222 중심상가동 1층93호(방이동, 올림픽선수기자촌아파트)",김광준,02-404-4400,영업중,2024-08-12
11710-2016-00266,굿모닝공인중개사사무소,서울특별시 송파구 성내천로 305 1층 (마천동),신진희,02-443-7877,영업중,2024-08-12
11710-2016-00271,아시아공인중개사사무소,"서울특별시 송파구 올림픽로4길 17 중심상가동 196,197호(잠실동, 아시아선수촌아파트)",이상훈,02-416-5000,영업중,2024-08-12
11710-2016-00272,한일공인중개사사무소,"서울특별시 송파구 올림픽로 203 106호(잠실동, 중앙상가)",최영순,02-421-8118,영업중,2024-08-12
11710-2016-00274,써브대림공인중개사사무소,서울특별시 송파구 백제고분로42길 6-9 B01호 (송파동),장선주,02-425-0915,영업중,2024-08-12
11710-2016-00277,양지공인중개사사무소,서울특별시 송파구 송파대로28길 32 1층4호(가락동),김경모,02-448-2724,영업중,2024-08-12
11710-2016-00279,월드공인중개사사무소,"서울특별시 송파구 위례성대로 158 상가1공구 118호(오금동, 대림아파트)",최재영,02-3402-3434,영업중,2024-08-12
11710-2016-00280,연세공인중개사사무소,서울특별시 송파구 가락로 169 1층 (송파동),오중근,02-414-8911,영업중,2024-08-12
11710-2016-00283,현대I공인중개사사무소,"서울특별시 송파구 오금로 58 102호(신천동, 잠실아이스페이스)",이동용,02-412-8558,영업중,2024-08-12
11710-2016-00286,탑푸르지오공인중개사사무소,"서울특별시 송파구 충민로 66 Y-9050호 (문정동, 가든파이브라이프)",조성민,02-402-7142,영업중,2024-08-12
11710-2016-00290,쉐르빌공인중개사사무소,"서울특별시 송파구 오금로32길 14 101동 113호 (송파동, 송파삼성래미안아파트)",이정원,02-419-0088,영업중,2024-08-12
11710-2016-00295,마루공인중개사사무소,서울특별시 송파구 오금로53길 46 1층(거여동),홍은정,02-3402-2100,영업중,2024-08-12
11710-2016-00307,이룸공인중개사사무소,서울특별시 송파구 법원로 128 3층 C303호(문정동),도정협,02-430-2809,영업중,2024-08-12
11710-2016-00327,베스트공인중개사사무소,"서울특별시 송파구 위례광장로 170 상가에이동 A106호(장지동, 힐스테이트송파위례)",권현미,02-401-1000,영업중,2024-08-12
11710-2016-00331,오렌지공인중개사사무소,"서울특별시 송파구 충민로 66 Y-9065호 (문정동, 가든파이브라이프)",정성숙,02-2157-0307,영업중,2024-08-12
11710-2016-00333,위례사랑공인중개사사무소,"서울특별시 송파구 위례광장로 121 상가동 110호 (장지동, 위례24단지)",박은미,02-430-3500,영업중,2024-08-12
11710-2016-00338,원공인중개사사무소,서울특별시 송파구 오금로35길 36 근생2호 (오금동),조혜원,02-431-4900,영업중,2024-08-12
11710-2016-00341,좋은집공인중개사사무소,서울특별시 송파구 가락로11길 16 101호 (석촌동),엄서영,02-415-2555,영업중,2024-08-12
11710-2016-00342,현대공인중개사사무소,서울특별시 송파구 백제고분로27길 13 1층 (삼전동),김욱한,02-419-3431,영업중,2024-08-12
11710-2016-00343,파크하비오공인중개사사무소,"서울특별시 송파구 송파대로 111 하비오길동 중앙로108동113호 (문정동, 파크하비오)",허관숙,02-445-7750,영업중,2024-08-12
11710-2016-00347,드림시티공인중개사사무소,"서울특별시 송파구 법원로 114 C동 C-121호(문정동, 엠스테이트)",박미자,02-403-9797,영업중,2024-08-12
11710-2016-00349,알파공인중개사사무소,"서울특별시 송파구 법원로 114 E동 E-B202호(문정동, 엠스테이트)",김현정,02-406-3311,영업중,2024-08-12
11710-2016-00354,시티공인중개사사무소,"서울특별시 송파구 올림픽로 203 130호(잠실동, 중앙상가)",김동구,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2016-00359,송파하비오공인중개사사무소,"서울특별시 송파구 송파대로 111 ,하비오길동 중앙로108동111호 (문정동, 파크하비오)",이명희,02-430-6004,영업중,2024-08-12
11710-2016-00360,차오름공인중개사사무소,"서울특별시 송파구 송파대로 111 송파파크하비오푸르지오202동 에이216호(문정동, 파크하비오)",차유미,02-443-4300,영업중,2024-08-12
11710-2016-00362,하비오골드공인중개사사무소,"서울특별시 송파구 송파대로 111 하비오길동 중앙로109동 112호 (문정동, 파크하비오)",김종배,02-431-8900,영업중,2024-08-12
11710-2016-00364,장박사공인중개사사무소,서울특별시 송파구 마천로51가길 22 1층(마천동),장봉옥,02-449-5006,영업중,2024-08-12
11710-2016-00379,현대공인중개사사무소,서울특별시 송파구 토성로 36 1층(풍납동),진명미,02-484-9494,영업중,2024-08-12
11710-2016-00381,미도공인중개사사무소,서울특별시 송파구 석촌호수로 134 105호(삼전동),고향복,02-422-6567,영업중,2024-08-12
11710-2016-00388,나라부동산공인중개사사무소,"서울특별시 송파구 송파대로 167 A동 103호 (문정동, 문정역테라타워)",박성수,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2016-00391,까페공인중개사사무소,서울특별시 송파구 백제고분로21길 3 1층(삼전동),지우환,02-424-0072,영업중,2024-08-12
11710-2016-00392,복공인중개사사무소,"서울특별시 송파구 충민로 52 S501호(문정동, 가든파이브웍스)",이재복,02-2157-1212,영업중,2024-08-12
11710-2016-00415,명인공인중개사사무소,서울특별시 송파구 삼전로6길 4 1층(삼전동),김상현,02-422-2400,영업중,2024-08-12
11710-2016-00419,복공인중개사사무소,서울특별시 송파구 중대로12길 42 1층(가락동),정목규,02-443-9300,영업중,2024-08-12
11710-2016-00421,그린공인중개사사무소,서울특별시 송파구 송파대로26길 12 지하1층(가락동),전창남,02-6203-4228,영업중,2024-08-12
11710-2016-00424,잠실리시온공인중개사사무소,"서울특별시 송파구 오금로 87 419호(방이동, 잠실리시온)",김윤희,02-416-0100,영업중,2024-08-12
11710-2016-00426,주식회사베일리스부동산중개법인,"서울특별시 송파구 위례성대로2길 8 107호 (방이동, 잠실헤리츠)",최윤실,02-422-4885,영업중,2024-08-12
11710-2016-00428,다올공인중개사사무소,서울특별시 송파구 중대로38길 8 1층 (오금동),차현용,02-430-1564,영업중,2024-08-12
11710-2016-00430,문정벤처공인중개사사무소,"서울특별시 송파구 법원로 114 C동  C-129호(문정동,엠스테이트)",문석준,02-431-9400,영업중,2024-08-12
11710-2016-00435,풍납공인중개사사무소,"서울특별시 송파구 올림픽로 525 상가동 1층104호(풍납동, 현대아파트)",신미선,02-470-3395,영업중,2024-08-12
11710-2016-00436,동양공인중개사사무소,서울특별시 송파구 백제고분로39길 10 1층(석촌동),김강진,02-414-4848,영업중,2024-08-12
11710-2016-00440,동해공인중개사사무소,"서울특별시 송파구 송이로 88 상가동 1층1호 (가락동, 가락대림아파트)",임정은,02-448-8945,영업중,2024-08-12
11710-2016-00441,삼마공인중개사사무소,서울특별시 송파구 오금로61길 5 (거여동),유남임,02-430-8941,영업중,2024-08-12
11710-2016-00443,한화공인중개사사무소,"서울특별시 송파구 충민로 5 126호 (문정동, 송파한화오벨리스크)",오지영,02-2043-8900,영업중,2024-08-12
11710-2016-00458,바른(단지내)공인중개사사무소,"서울특별시 송파구 송파대로 345 1A동 1060호 (가락동, 헬리오시티)",권영란,02-403-9979,영업중,2024-08-12
11710-2017-00013,율진공인중개사사무소,서울특별시 송파구 올림픽로10길 39 1층(잠실동),이재웅,02-422-9469,영업중,2024-08-12
11710-2017-00014,박사공인중개사사무소,"서울특별시 송파구 올림픽로47길 20 , 1층 (풍납동)",이만향,02-476-0062,영업중,2024-08-12
11710-2017-00017,현대공인중개사사무소,"서울특별시 송파구 송이로31길 52 ,상가동 1층110호 (문정동, 문정시영아파트)",이진아,02-407-4488,영업중,2024-08-12
11710-2017-00020,소담공인중개사사무소,서울특별시 송파구 가락로11길 6-18 1층 (석촌동),류경숙,02-422-9444,영업중,2024-08-12
11710-2017-00027,헬리오청구공인중개사사무소,"서울특별시 송파구 송파대로37길 4 , 1층 (석촌동)",조영남,02-400-9922,영업중,2024-08-12
11710-2017-00030,엘리트부동산공인중개사사무소,"서울특별시 송파구 삼전로10길 55 , 1층 (삼전동)",배송희,02-422-2440,영업중,2024-08-12
11710-2017-00031,송파연합공인중개사사무소,"서울특별시 송파구 새말로 62 , 상가105호 (문정동, 송파푸르지오시티)",백매연,02-443-1300,영업중,2024-08-12
11710-2017-00038,시티공인중개사사무소,서울특별시 송파구 백제고분로7길 41 1104호(잠실동),강나영,02-423-8888,영업중,2024-08-12
11710-2017-00045,삼성부동산컨설팅공인중개사사무소,"서울특별시 송파구 백제고분로42길 18 1층 (송파동, 선경빌딩)",조우연,02-413-8989,영업중,2024-08-12
11710-2017-00047,대림공인중개사사무소,"서울특별시 송파구 마천로 335 , (마천동)",박종군,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2017-00052,가든파이브공인중개사사무소,"서울특별시 송파구 충민로 52 , S409호 (문정동, 가든파이브웍스)",박종태,02-2047-3366,영업중,2024-08-12
11710-2017-00055,가야공인중개사사무소,서울특별시 송파구 백제고분로50길 30-4 101호(방이동),이준호,02-414-2700,영업중,2024-08-12
11710-2017-00057,다온공인중개사사무소,"서울특별시 송파구 충민로 66 L-7138호 (문정동,가든파이브라이프)",조연희,02-420-6437,영업중,2024-08-12
11710-2017-00058,삼진부동산중개법인주식회사,"서울특별시 송파구 중대로 24 , 상가(2)동 1층109호 (문정동, 올림픽훼밀리타운)",이원석,02-409-5000,영업중,2024-08-12
11710-2017-00059,한길부동산공인중개사사무소,서울특별시 송파구 마천로61나길 7-1 102호(마천동),김성조,02-409-0011,영업중,2024-08-12
11710-2017-00077,보광공인중개사사무소,"서울특별시 송파구 충민로 66 , T-9128호 (문정동, 가든파이브라이프)",박영길,02-2157-6577,영업중,2024-08-12
11710-2017-00081,유림공인중개사사무소,"서울특별시 송파구 백제고분로31길 29 , 101호 (삼전동)",서유림,02-423-4230,영업중,2024-08-12
